"tips","max_crep","Order","Family","Genus"
"Sminthopsis_virginiae","nocturnal","Dasyuromorphia","Dasyuridae","Sminthopsis"
"Sminthopsis_youngsoni","nocturnal","Dasyuromorphia","Dasyuridae","Sminthopsis"
"Smutsia_gigantea","nocturnal","Primates",NA,NA
"Smutsia_temminckii","nocturnal","Primates",NA,NA
"Solenodon_cubanus","nocturnal","Eulipotyphla","Solenodontidae","Solenodon"
"Solenodon_paradoxus","nocturnal","Eulipotyphla","Solenodontidae","Solenodon"
"Sommeromys_macrorhinos","nocturnal","Rodentia","Muridae","Sommeromys"
"Sooretamys_angouya","nocturnal","Rodentia","Cricetidae","Sooretamys"
"Sorex_alaskanus","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_alpinus","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_antinorii","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_araneus","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_arcticus","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_arizonae","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_arunchi","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_asper","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_bairdi","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_bedfordiae","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_bendirii","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_buchariensis","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_caecutiens","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_camtschatica","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_cansulus","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_cinereus","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_coronatus","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_cylindricauda","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_daphaenodon","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_dispar","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_emarginatus","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_excelsus","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_fumeus","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_gracillimus","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_granarius","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_haydeni","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_hosonoi","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_hoyi","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_isodon","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_ixtlanensis","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_jacksoni","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_kozlovi","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_leucogaster","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_longirostris","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_lyelli","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_macrodon","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_maritimensis","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_mediopua","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_merriami","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_milleri","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_minutissimus","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_minutus","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_mirabilis","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_monticolus","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_nanus","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_neomexicanus","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_oreopolus","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_orizabae","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_ornatus","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_pacificus","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_palustris","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_planiceps","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_portenkoi","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_preblei","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_pribilofensis","cathemeral","Primates",NA,NA
"Sorex_raddei","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_roboratus","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_rohweri","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_samniticus","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_satunini","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_saussurei","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_sclateri","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_shinto","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_sinalis","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_sonomae","nocturnal","Eulipotyphla","Soricidae","Sorex"
"Sorex_stizodon","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_tenellus","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_thibetanus","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_trowbridgii","cathemeral","Eulipotyphla","Soricidae","Sorex"
"Sorex_tundrensis","cathemeral","Eulipotyphla","Soricidae","Sorex"
