"","Species_name","Diel_Pattern_1","Diel_Pattern_2","Diel_Pattern_3","Diel_Pattern_4","tips"
"Saiga tatarica","Saiga tatarica","diurnal","diurnal","diurnal","diurnal","Saiga_tatarica"
"Sus barbatus","Sus barbatus","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Sus_barbatus"
"Sus cebifrons","Sus cebifrons","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Sus_cebifrons"
"Sus celebensis","Sus celebensis","diurnal","diurnal/crepuscular","crepuscular","diurnal","Sus_celebensis"
"Sus philippensis","Sus philippensis","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Sus_philippensis"
"Sus salvanius","Sus salvanius","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Sus_salvanius"
"Sus scrofa","Sus scrofa","nocturnal","nocturnal","nocturnal","nocturnal","Sus_scrofa"
"Sylvicapra grimmia","Sylvicapra grimmia",NA,"cathemeral","cathemeral","cathemeral","Sylvicapra_grimmia"
"Syncerus caffer","Syncerus caffer","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Syncerus_caffer"
"Taurotragus oryx","Taurotragus oryx",NA,"cathemeral","cathemeral","cathemeral","Taurotragus_oryx"
"Tayassu pecari","Tayassu pecari","diurnal","diurnal/crepuscular","crepuscular","diurnal","Tayassu_pecari"
"Tetracerus quadricornis","Tetracerus quadricornis","nocturnal","nocturnal","nocturnal","nocturnal","Tetracerus_quadricornis"
"Tragelaphus angasii","Tragelaphus angasii","diurnal","diurnal/crepuscular","crepuscular","diurnal","Tragelaphus_angasii"
"Tragelaphus buxtoni","Tragelaphus buxtoni",NA,"cathemeral/crepuscular","crepuscular","cathemeral","Tragelaphus_buxtoni"
"Tragelaphus eurycerus","Tragelaphus eurycerus","nocturnal","nocturnal","nocturnal","nocturnal","Tragelaphus_eurycerus"
"Tragelaphus imberbis","Tragelaphus imberbis","nocturnal","nocturnal","nocturnal","nocturnal","Tragelaphus_imberbis"
"Tragelaphus scriptus","Tragelaphus scriptus","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Tragelaphus_scriptus"
"Tragelaphus spekii","Tragelaphus spekii",NA,"cathemeral","cathemeral","cathemeral","Tragelaphus_spekii"
"Tragelaphus strepsiceros","Tragelaphus strepsiceros","diurnal","diurnal","diurnal","diurnal","Tragelaphus_strepsiceros"
"Tragulus javanicus","Tragulus javanicus","nocturnal","nocturnal","nocturnal","nocturnal","Tragulus_javanicus"
"Tragulus napu","Tragulus napu","nocturnal","nocturnal","nocturnal","nocturnal","Tragulus_napu"
"Vicugna vicugna","Vicugna vicugna","diurnal","diurnal","diurnal","diurnal","Vicugna_vicugna"
"Balaena mysticetus","Balaena mysticetus",NA,"cathemeral","crepuscular","cathemeral","Balaena_mysticetus"
"Balaenoptera bonaerensis","Balaenoptera bonaerensis",NA,"cathemeral","crepuscular","cathemeral","Balaenoptera_bonaerensis"
"Balaenoptera borealis","Balaenoptera borealis",NA,"cathemeral","crepuscular","cathemeral","Balaenoptera_borealis"
"Balaenoptera omurai","Balaenoptera omurai",NA,"cathemeral","crepuscular","cathemeral","Balaenoptera_omurai"
"Balaenoptera physalus","Balaenoptera physalus",NA,"cathemeral","crepuscular","cathemeral","Balaenoptera_physalus"
"Berardius bairdii","Berardius bairdii",NA,"cathemeral","crepuscular","cathemeral","Berardius_bairdii"
"Cephalorhynchus eutropia","Cephalorhynchus eutropia",NA,"cathemeral","crepuscular","cathemeral","Cephalorhynchus_eutropia"
"Hyperoodon ampullatus","Hyperoodon ampullatus",NA,"cathemeral","crepuscular","cathemeral","Hyperoodon_ampullatus"
"Inia geoffrensis","Inia geoffrensis",NA,"cathemeral","crepuscular","cathemeral","Inia_geoffrensis"
"Megaptera novaeangliae","Megaptera novaeangliae",NA,"cathemeral","crepuscular","cathemeral","Megaptera_novaeangliae"
"Mesoplodon bidens","Mesoplodon bidens",NA,"cathemeral","crepuscular","cathemeral","Mesoplodon_bidens"
"Mesoplodon densirostris","Mesoplodon densirostris",NA,"cathemeral","crepuscular","cathemeral","Mesoplodon_densirostris"
"Mesoplodon europaeus","Mesoplodon europaeus",NA,"cathemeral","crepuscular","cathemeral","Mesoplodon_europaeus"
"Mesoplodon stejnegeri","Mesoplodon stejnegeri",NA,"cathemeral","crepuscular","cathemeral","Mesoplodon_stejnegeri"
"Monodon monoceros","Monodon monoceros",NA,"cathemeral","crepuscular","cathemeral","Monodon_monoceros"
"Orcaella brevirostris","Orcaella brevirostris",NA,"cathemeral","crepuscular","cathemeral","Orcaella_brevirostris"
"Phocoena phocoena","Phocoena phocoena",NA,"cathemeral","crepuscular","cathemeral","Phocoena_phocoena"
"Phocoena sinus","Phocoena sinus",NA,"cathemeral","crepuscular","cathemeral","Phocoena_sinus"
"Phocoenoides dalli","Phocoenoides dalli",NA,"cathemeral","crepuscular","cathemeral","Phocoenoides_dalli"
"Physeter macrocephalus","Physeter macrocephalus",NA,"cathemeral","crepuscular","cathemeral","Physeter_macrocephalus"
"Sotalia fluviatilis","Sotalia fluviatilis",NA,"cathemeral","crepuscular","cathemeral","Sotalia_fluviatilis"
"Sotalia guianensis","Sotalia guianensis",NA,"cathemeral","crepuscular","cathemeral","Sotalia_guianensis"
"Ziphius cavirostris","Ziphius cavirostris",NA,"cathemeral","crepuscular","cathemeral","Ziphius_cavirostris"
"Balaenoptera musculus","Balaenoptera musculus",NA,"cathemeral/crepuscular","crepuscular","cathemeral","Balaenoptera_musculus"
"Balaenoptera edeni","Balaenoptera edeni","diurnal","diurnal","diurnal","diurnal","Balaenoptera_edeni"
"Balaenoptera ricei","Balaenoptera ricei","diurnal","diurnal","diurnal","diurnal","Balaenoptera_ricei"
"Cephalorhynchus commersonii","Cephalorhynchus commersonii","diurnal","diurnal","diurnal","diurnal","Cephalorhynchus_commersonii"
"Cephalorhynchus hectori","Cephalorhynchus hectori","diurnal","diurnal","diurnal","diurnal","Cephalorhynchus_hectori"
"Delphinapterus leucas","Delphinapterus leucas","diurnal","diurnal","diurnal","diurnal","Delphinapterus_leucas"
"Kogia breviceps","Kogia breviceps","diurnal","diurnal","diurnal","diurnal","Kogia_breviceps"
"Kogia sima","Kogia sima","diurnal","diurnal","diurnal","diurnal","Kogia_sima"
"Lagenorhynchus obscurus","Lagenorhynchus obscurus","diurnal","diurnal","diurnal","diurnal","Lagenorhynchus_obscurus"
"Lipotes vexillifer","Lipotes vexillifer","diurnal","diurnal","diurnal","diurnal","Lipotes_vexillifer"
"Mesoplodon hotaula","Mesoplodon hotaula","diurnal","diurnal","diurnal","diurnal","Mesoplodon_hotaula"
"Orcinus orca","Orcinus orca","diurnal","diurnal","diurnal","diurnal","Orcinus_orca"
"Pseudorca crassidens","Pseudorca crassidens","diurnal","diurnal","diurnal","diurnal","Pseudorca_crassidens"
