"","search_string","unique_name","approximate_match","ott_id","is_synonym","flags","number_matches","tips","genus","family","order","diel","diel2","diel_confidence","genome","NEW"
"2737","jaydia smithi","Jaydia smithi",FALSE,1032724,FALSE,"",1,"Jaydia_smithi","Jaydia","Apogonidae","Kurtiformes","crepuscular/nocturnal","crepuscular",1,"","NEW_SPECIES"
"2738","jenkinsia stolifera","Jenkinsia stolifera",FALSE,3628619,FALSE,"",1,"Jenkinsia_stolifera","Jenkinsia","Spratelloididae","Clupeiformes","diurnal","diurnal",1,"",""
"2741","johnius belangerii","Johnius belangerii",FALSE,1066058,FALSE,"",1,"Johnius_belangerii","Johnius","Sciaenidae","Eupercaria/misc","crepuscular/nocturnal","crepuscular",2,"",""
"2742","johnius carouna","Johnius carouna",FALSE,3634323,FALSE,"",1,"Johnius_carouna","Johnius","Sciaenidae","Eupercaria/misc","diurnal","diurnal",3,"","NEW_SPECIES"
"2743","johnius grypotus","Johnius grypotus",FALSE,3634328,FALSE,"",1,"Johnius_grypotus","Johnius","Sciaenidae","Eupercaria/misc","unclear","unknown",2,"","NEW_SPECIES"
"2745","jordanella floridae","Jordanella floridae",FALSE,82326,FALSE,"",1,"Jordanella_floridae","Jordanella","Cyprinodontidae","Cyprinodontiformes","diurnal","diurnal",2,"",""
"2746","julidochromis dickfeldi","Julidochromis dickfeldi",FALSE,295304,FALSE,"",1,"Julidochromis_dickfeldi","Julidochromis","Cichlidae","Cichliformes","diurnal","diurnal",5,"",""
"2747","julidochromis marksmithi","Julidochromis marksmithi",FALSE,7651693,FALSE,"",1,"Julidochromis_marksmithi","Julidochromis","Cichlidae","Cichliformes","crepuscular","crepuscular",5,"",""
"2748","julidochromis ornatus","Julidochromis ornatus",FALSE,97293,FALSE,"",1,"Julidochromis_ornatus","Julidochromis","Cichlidae","Cichliformes","diurnal","diurnal",5,"",""
"2749","julis pavo","Thalassoma pavo",FALSE,787187,TRUE,"",1,"Thalassoma_pavo","Thalassoma","Labridae","Eupercaria/misc","diurnal","diurnal",1,"",""
"2750","jupiaba acanthogaster","Jupiaba acanthogaster",FALSE,3625550,FALSE,"incertae_sedis_inherited",1,"Jupiaba_acanthogaster","Jupiaba","Characidae","Characiformes","diurnal","diurnal",4,"","NEW_SPECIES"
"2751","jupiaba anteroides","Jupiaba anteroides",FALSE,1095511,FALSE,"incertae_sedis_inherited",1,"Jupiaba_anteroides","Jupiaba","Characidae","Characiformes","diurnal","diurnal",4,"","HIGHER_CONF"
"2752","kajikia albida","Kajikia albida",FALSE,194254,FALSE,"",1,"Kajikia_albida","Kajikia","Istiophoridae","Carangiformes","diurnal","diurnal",2,"",""
"2753","karalla daura","Karalla daura",FALSE,524539,FALSE,"",1,"Karalla_daura","Karalla","Leiognathidae","Acanthuriformes","diurnal","diurnal",1,"",""
"2754","kathala axillaris","Kathala axillaris",FALSE,3634405,FALSE,"",1,"Kathala_axillaris","Kathala","Sciaenidae","Eupercaria/misc","nocturnal","nocturnal",5,"","NEW_SPECIES"
"2755","katsuwonus pelamis","Katsuwonus pelamis",FALSE,308754,FALSE,"",1,"Katsuwonus_pelamis","Katsuwonus","Scombridae","Scombriformes","crepuscular/diurnal","crepuscular",3,"",""
"2756","kaupichthys hyoproroides","Kaupichthys hyoproroides",FALSE,838152,FALSE,"",1,"Kaupichthys_hyoproroides","Kaupichthys","Chlopsidae","Anguilliformes","nocturnal","nocturnal",1,"",""
"2757","kaupichthys nuchalis","Kaupichthys nuchalis",FALSE,182997,FALSE,"",1,"Kaupichthys_nuchalis","Kaupichthys","Chlopsidae","Anguilliformes","diurnal","diurnal",1,"",""
"2758","kichulchoia multifasciata","Kichulchoia multifasciata",FALSE,4138438,FALSE,"",1,"Kichulchoia_multifasciata",NA,NA,NA,"diurnal","diurnal",1,"",""
"2759","knipowitschia caucasica","Knipowitschia caucasica",FALSE,805515,FALSE,"",1,"Knipowitschia_caucasica","Knipowitschia","Gobiidae","Gobiiformes","crepuscular/diurnal","crepuscular",1,"","NEW_SPECIES"
"2760","knipowitschia panizzae","Knipowitschia panizzae",FALSE,919904,FALSE,"",1,"Knipowitschia_panizzae","Knipowitschia","Gobiidae","Gobiiformes","nocturnal","nocturnal",2,"",""
"2762","knodus gamma","Knodus gamma",FALSE,3624964,FALSE,"",1,"Knodus_gamma","Knodus","Characidae","Characiformes","unclear","unknown",2,"","NEW_SPECIES"
"2763","knodus heteresthes","Knodus heteresthes",FALSE,3624952,FALSE,"",1,"Knodus_heteresthes","Knodus","Characidae","Characiformes","diurnal","diurnal",3,"",""
"2764","konia dikume","Konia dikume",FALSE,988588,FALSE,"",1,"Konia_dikume","Konia","Cichlidae","Cichliformes","crepuscular/diurnal","crepuscular",3,"","NEW_SPECIES"
"2765","konosirus punctatus","Konosirus punctatus",FALSE,39743,FALSE,"",1,"Konosirus_punctatus","Konosirus","Clupeidae","Clupeiformes","crepuscular","crepuscular",3,"","NEW_SPECIES"
"2766","koumansetta rainfordi","Koumansetta rainfordi",FALSE,3638151,FALSE,"",1,"Koumansetta_rainfordi","Koumansetta","Gobiidae","Gobiiformes","diurnal","diurnal",2,"",""
"2767","krefftichthys anderssoni","Krefftichthys anderssoni",FALSE,785196,FALSE,"",1,"Krefftichthys_anderssoni","Krefftichthys","Myctophidae","Myctophiformes","diurnal","diurnal",2,"",""
"2768","krobia guianensis","Krobia guianensis",FALSE,687203,FALSE,"",1,"Krobia_guianensis","Krobia","Cichlidae","Cichliformes","diurnal","diurnal",4,"","NEW_SPECIES"
"2769","kronichthys heylandi","Kronichthys heylandi",FALSE,650416,FALSE,"",1,"Kronichthys_heylandi","Kronichthys","Loricariidae","Siluriformes","nocturnal","nocturnal",4,"","NEW_SPECIES"
"2770","kronichthys subteres","Kronichthys subteres",FALSE,969748,FALSE,"",1,"Kronichthys_subteres","Kronichthys","Loricariidae","Siluriformes","unclear","unknown",2,"",""
"2771","kryptoglanis shajii","Kryptoglanis shajii",FALSE,1045128,FALSE,"incertae_sedis_inherited",1,"Kryptoglanis_shajii","Kryptoglanis","Kryptoglanidae","Siluriformes","nocturnal","nocturnal",1,"","NEW_SPECIES"
"2772","kryptolebias marmoratus","Kryptolebias marmoratus",FALSE,229709,FALSE,"",1,"Kryptolebias_marmoratus","Kryptolebias","Rivulidae","Cyprinodontiformes","diurnal","diurnal",4,"ENSEMBL, GCA 004006655.2","NEW_SPECIES"
"2773","kryptophanaron alfredi","Kryptophanaron alfredi",FALSE,3642430,FALSE,"",1,"Kryptophanaron_alfredi","Kryptophanaron","Anomalopidae","Trachichthyiformes","nocturnal","nocturnal",2,"","NEW_SPECIES"
"2774","kryptopterus apogon","Phalacronotus apogon",FALSE,229726,TRUE,"",1,"Phalacronotus_apogon","Phalacronotus","Siluridae","Siluriformes","nocturnal","nocturnal",2,"",""
"2775","kryptopterus bicirrhis","Kryptopterus bicirrhis",FALSE,896070,FALSE,"",1,"Kryptopterus_bicirrhis","Kryptopterus","Siluridae","Siluriformes","nocturnal","nocturnal",2,"",""
"2776","kryptopterus macrocephalus","Kryptopterus macrocephalus",FALSE,783832,FALSE,"",1,"Kryptopterus_macrocephalus","Kryptopterus","Siluridae","Siluriformes","nocturnal","nocturnal",2,"",""
"2777","kuhlia mugil","Kuhlia mugil",FALSE,711794,FALSE,"",1,"Kuhlia_mugil","Kuhlia","Kuhliidae","Centrarchiformes","nocturnal","nocturnal",1,"",""
"2778","kuhlia rupestris","Kuhlia rupestris",FALSE,300528,FALSE,"",1,"Kuhlia_rupestris","Kuhlia","Kuhliidae","Centrarchiformes","diurnal","diurnal",4,"","NEW_SPECIES"
"2779","kuhlia sandvicensis","Kuhlia sandvicensis",FALSE,622696,FALSE,"",1,"Kuhlia_sandvicensis","Kuhlia","Kuhliidae","Centrarchiformes","nocturnal","nocturnal",2,"",""
"2780","kuhlia xenura","Kuhlia xenura",FALSE,622701,FALSE,"",1,"Kuhlia_xenura","Kuhlia","Kuhliidae","Centrarchiformes","nocturnal","nocturnal",1,"",""
"2781","kyphosus azureus","Hermosilla azurea",FALSE,200601,TRUE,"",1,"Hermosilla_azurea",NA,NA,NA,"diurnal","diurnal",1,"",""
"2782","kyphosus bigibbus","Kyphosus bigibbus",FALSE,839479,FALSE,"",1,"Kyphosus_bigibbus","Kyphosus","Kyphosidae","Centrarchiformes","diurnal","diurnal",1,"",""
"2783","kyphosus cinerascens","Kyphosus cinerascens",FALSE,188298,FALSE,"",1,"Kyphosus_cinerascens","Kyphosus","Kyphosidae","Centrarchiformes","diurnal","diurnal",2,"",""
"2784","kyphosus elegans","Kyphosus elegans",FALSE,434911,FALSE,"",1,"Kyphosus_elegans","Kyphosus","Kyphosidae","Centrarchiformes","diurnal","diurnal",1,"",""
"2785","kyphosus ocyurus","Sectator ocyurus",FALSE,314511,TRUE,"",1,"Sectator_ocyurus",NA,NA,NA,"diurnal","diurnal",1,"",""
"2786","kyphosus sectatrix","Kyphosus sectatrix",FALSE,27919,FALSE,"",1,"Kyphosus_sectatrix","Kyphosus","Kyphosidae","Centrarchiformes","crepuscular/diurnal","crepuscular",3,"",""
"2787","kyphosus sydneyanus","Kyphosus sydneyanus",FALSE,3633268,FALSE,"",1,"Kyphosus_sydneyanus","Kyphosus","Kyphosidae","Centrarchiformes","crepuscular/diurnal","crepuscular",3,"",""
"2788","kyphosus vaigiensis","Kyphosus vaigiensis",FALSE,20442,FALSE,"",1,"Kyphosus_vaigiensis","Kyphosus","Kyphosidae","Centrarchiformes","crepuscular/diurnal","crepuscular",1,"",""
"2789","labeo rohita","Labeo rohita",FALSE,160616,FALSE,"sibling_higher",1,"Labeo_rohita","Labeo","Cyprinidae","Cypriniformes","diurnal","diurnal",3,"GCA 004120215.1",""
"2790","labeo victorianus","Labeo victorianus",FALSE,192476,FALSE,"sibling_higher",1,"Labeo_victorianus","Labeo","Cyprinidae","Cypriniformes","diurnal","diurnal",4,"",""
"2791","labeobarbus aeneus","Labeobarbus aeneus",FALSE,709584,FALSE,"",1,"Labeobarbus_aeneus","Labeobarbus","Cyprinidae","Cypriniformes","diurnal","diurnal",4,"",""
"2792","labeobarbus kimberleyensis","Labeobarbus kimberleyensis",FALSE,3627448,FALSE,"",1,"Labeobarbus_kimberleyensis","Labeobarbus","Cyprinidae","Cypriniformes","diurnal","diurnal",4,"",""
"2793","labeobarbus macrophtalmus","Labeobarbus macrophtalmus",FALSE,1051278,FALSE,"",1,"Labeobarbus_macrophtalmus","Labeobarbus","Cyprinidae","Cypriniformes","crepuscular/nocturnal","crepuscular",3,"","NEW_SPECIES"
"2794","labeobarbus marequensis","Labeobarbus marequensis",FALSE,446429,FALSE,"",1,"Labeobarbus_marequensis","Labeobarbus","Cyprinidae","Cypriniformes","diurnal","diurnal",4,"",""
"2795","labeobarbus megastoma","Labeobarbus megastoma",FALSE,1051302,FALSE,"",1,"Labeobarbus_megastoma","Labeobarbus","Cyprinidae","Cypriniformes","crepuscular/nocturnal","crepuscular",3,"","NEW_SPECIES"
"2796","labeobarbus truttiformis","Labeobarbus truttiformis",FALSE,1051217,FALSE,"",1,"Labeobarbus_truttiformis","Labeobarbus","Cyprinidae","Cypriniformes","crepuscular/nocturnal","crepuscular",3,"","NEW_SPECIES"
"2797","labeotropheus fuelleborni","Labeotropheus fuelleborni",FALSE,1018144,FALSE,"",1,"Labeotropheus_fuelleborni","Labeotropheus","Cichlidae","Cichliformes","diurnal","diurnal",5,"GCA 000150875.1",""
"2798","labeotropheus trewavasae","Labeotropheus trewavasae",FALSE,539198,FALSE,"",1,"Labeotropheus_trewavasae","Labeotropheus","Cichlidae","Cichliformes","diurnal","diurnal",5,"",""
"2799","labidesthes sicculus","Labidesthes sicculus",FALSE,125720,FALSE,"",1,"Labidesthes_sicculus","Labidesthes","Atherinopsidae","Atheriniformes","diurnal","diurnal",4,"","NEW_SPECIES"
"2800","labiobarbus fasciatus","Labiobarbus fasciatus",FALSE,3627361,FALSE,"",1,"Labiobarbus_fasciatus","Labiobarbus","Cyprinidae","Cypriniformes","diurnal","diurnal",3,"",""
"2801","labiobarbus lineatus","Labiobarbus lineatus",FALSE,771156,FALSE,"",1,"Labiobarbus_lineatus","Labiobarbus","Cyprinidae","Cypriniformes","nocturnal","nocturnal",2,"",""
"2802","labrichthys unilineatus","Labrichthys unilineatus",FALSE,302371,FALSE,"",1,"Labrichthys_unilineatus","Labrichthys","Labridae","Eupercaria/misc","diurnal","diurnal",1,"","NEW_SPECIES"
"2803","labrisomus conditus","Labrisomus conditus",FALSE,3639327,FALSE,"sibling_higher",1,"Labrisomus_conditus","Labrisomus","Labrisomidae","Blenniiformes","diurnal","diurnal",1,"",""
"2804","labrisomus cricota","Labrisomus cricota",FALSE,3639330,FALSE,"sibling_higher",1,"Labrisomus_cricota","Labrisomus","Labrisomidae","Blenniiformes","diurnal","diurnal",1,"",""
"2805","labrisomus fernandezianus","Labrisomus fernandezianus",FALSE,3639328,FALSE,"sibling_higher",1,"Labrisomus_fernandezianus","Labrisomus","Labrisomidae","Blenniiformes","diurnal","diurnal",1,"",""
"2806","labrisomus jenkinsi","Labrisomus jenkinsi",FALSE,3639325,FALSE,"sibling_higher",1,"Labrisomus_jenkinsi","Labrisomus","Labrisomidae","Blenniiformes","diurnal","diurnal",1,"",""
"2807","labrisomus multiporosus","Labrisomus multiporosus",FALSE,450260,FALSE,"sibling_higher",1,"Labrisomus_multiporosus","Labrisomus","Labrisomidae","Blenniiformes","diurnal","diurnal",1,"",""
"2808","labrisomus nuchipinnis","Labrisomus nuchipinnis",FALSE,172786,FALSE,"sibling_higher",1,"Labrisomus_nuchipinnis","Labrisomus","Labrisomidae","Blenniiformes","diurnal","diurnal",3,"",""
"2809","labrisomus philippii","Labrisomus philippii",FALSE,3639333,FALSE,"sibling_higher",1,"Labrisomus_philippii","Labrisomus","Labrisomidae","Blenniiformes","diurnal","diurnal",1,"",""
"2810","labrisomus pomaspilus","Labrisomus pomaspilus",FALSE,3639335,FALSE,"sibling_higher",1,"Labrisomus_pomaspilus","Labrisomus","Labrisomidae","Blenniiformes","diurnal","diurnal",1,"",""
"2811","labrisomus socorroensis","Labrisomus socorroensis",FALSE,3639331,FALSE,"sibling_higher",1,"Labrisomus_socorroensis","Labrisomus","Labrisomidae","Blenniiformes","diurnal","diurnal",1,"",""
