"Species_name","Order","Suborder","Parvorder","Family","Diel_Pattern","max_crep","max_dinoc","Confidence","tips"
"Aotus miconax","Primates","idk","non-cetacean","Aotidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Aotus_miconax"
"Aotus miconax","Primates","idk","non-cetacean","Aotidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Aotus_miconax"
"Aotus nancymaae","Primates","idk","non-cetacean","Aotidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Aotus_nancymaae"
"Aotus nancymaae","Primates","idk","non-cetacean","Aotidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Aotus_nancymaae"
"Aotus nigriceps","Primates","idk","non-cetacean","Aotidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Aotus_nigriceps"
"Aotus nigriceps","Primates","idk","non-cetacean","Aotidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Aotus_nigriceps"
"Aotus trivirgatus","Primates","idk","non-cetacean","Aotidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Aotus_trivirgatus"
"Aotus trivirgatus","Primates","idk","non-cetacean","Aotidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Aotus_trivirgatus"
"Aotus vociferans","Primates","idk","non-cetacean","Aotidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Aotus_vociferans"
"Aotus vociferans","Primates","idk","non-cetacean","Aotidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Aotus_vociferans"
"Aplodontia rufa","Rodentia","idk","non-cetacean","Aplodontiidae","cathemeral","cathemeral","cathemeral","Bennie_2014_dataset","Aplodontia_rufa"
"Apodemus flavicollis","Rodentia","idk","non-cetacean","Muridae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Apodemus_flavicollis"
"Apodemus mystacinus","Rodentia","idk","non-cetacean","Muridae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Apodemus_mystacinus"
"Apodemus sylvaticus","Rodentia","idk","non-cetacean","Muridae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Apodemus_sylvaticus"
"Apodemus sylvaticus","Rodentia","idk","non-cetacean","Muridae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Apodemus_sylvaticus"
"Apodemus sylvaticus","Rodentia","idk","non-cetacean","Muridae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Apodemus_sylvaticus"
"Apodemus witherbyi","Rodentia","idk","non-cetacean","Muridae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Apodemus_witherbyi"
"Apomys abrae","Rodentia","idk","non-cetacean","Muridae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Apomys_abrae"
"Apomys datae","Rodentia","idk","non-cetacean","Muridae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Apomys_datae"
