"","Species_name","Diel_Pattern_2","tips","Diel_Pattern_1","Diel_Pattern_3","Diel_Pattern_4"
"Phacochoerus aethiopicus","Phacochoerus aethiopicus","Diurnal","Phacochoerus_aethiopicus","Diurnal","Diurnal","Diurnal"
"Phacochoerus africanus","Phacochoerus africanus","Diurnal","Phacochoerus_africanus","Diurnal","Diurnal","Diurnal"
"Philantomba maxwellii","Philantomba maxwellii","Diurnal","Philantomba_maxwellii","Diurnal","Diurnal","Diurnal"
"Philantomba monticola","Philantomba monticola","Diurnal","Philantomba_monticola","Diurnal","Diurnal","Diurnal"
"Philantomba walteri","Philantomba walteri","Diurnal","Philantomba_walteri","Diurnal","Diurnal","Diurnal"
"Porcula salvania","Porcula salvania","Diurnal","Porcula_salvania","Diurnal","Diurnal","Diurnal"
"Potamochoerus larvatus","Potamochoerus larvatus","Nocturnal","Potamochoerus_larvatus","Nocturnal","Nocturnal","Nocturnal"
"Potamochoerus porcus","Potamochoerus porcus","Nocturnal/Crepuscular","Potamochoerus_porcus","Nocturnal","Crepuscular","Nocturnal"
"Procapra gutturosa","Procapra gutturosa","Diurnal","Procapra_gutturosa","Diurnal","Diurnal","Diurnal"
"Procapra picticaudata","Procapra picticaudata","Crepuscular","Procapra_picticaudata",NA,"Crepuscular","Crepuscular"
"Procapra przewalskii","Procapra przewalskii","Diurnal","Procapra_przewalskii","Diurnal","Diurnal","Diurnal"
"Pseudois nayaur","Pseudois nayaur","Diurnal","Pseudois_nayaur","Diurnal","Diurnal","Diurnal"
"Pseudoryx nghetinhensis","Pseudoryx nghetinhensis","Diurnal","Pseudoryx_nghetinhensis","Diurnal","Diurnal","Diurnal"
"Pudu mephistophiles","Pudu mephistophiles","Nocturnal","Pudu_mephistophiles","Nocturnal","Nocturnal","Nocturnal"
"Pudu puda","Pudu puda","Nocturnal","Pudu_puda","Nocturnal","Nocturnal","Nocturnal"
"Rangifer tarandus","Rangifer tarandus","Cathemeral","Rangifer_tarandus",NA,"Cathemeral","Cathemeral"
"Raphicerus campestris","Raphicerus campestris","Cathemeral","Raphicerus_campestris",NA,"Cathemeral","Cathemeral"
