"Species_name","Order","Suborder","Parvorder","Family","Diel_Pattern","max_crep","max_dinoc","Confidence","tips"
"Moschus chrysogaster","Artiodactyla","Ruminantia","non-cetacean","Moschidae","nocturnal/crepuscular","crepuscular","nocturnal",3,"Moschus_chrysogaster"
"Moschus cupreus","Artiodactyla","Ruminantia","non-cetacean","Moschidae","nocturnal/crepuscular","crepuscular","nocturnal",2,"Moschus_cupreus"
"Moschus fuscus","Artiodactyla","Ruminantia","non-cetacean","Moschidae","nocturnal/crepuscular","crepuscular","nocturnal",1,"Moschus_fuscus"
"Moschus leucogaster","Artiodactyla","Ruminantia","non-cetacean","Moschidae","nocturnal/crepuscular","crepuscular","nocturnal",2,"Moschus_leucogaster"
"Moschus moschiferus","Artiodactyla","Ruminantia","non-cetacean","Moschidae","nocturnal/crepuscular","crepuscular","nocturnal",1,"Moschus_moschiferus"
"Muntiacus atherodes","Artiodactyla","Ruminantia","non-cetacean","Cervidae","diurnal","diurnal","diurnal",3,"Muntiacus_atherodes"
"Muntiacus crinifrons","Artiodactyla","Ruminantia","non-cetacean","Cervidae","cathemeral/crepuscular","crepuscular","crepuscular",3,"Muntiacus_crinifrons"
"Muntiacus feae","Artiodactyla","Ruminantia","non-cetacean","Cervidae","diurnal","diurnal","diurnal",1,"Muntiacus_feae"
"Muntiacus gongshanensis","Artiodactyla","Ruminantia","non-cetacean","Cervidae","cathemeral/crepuscular","crepuscular","crepuscular",1,"Muntiacus_gongshanensis"
"Muntiacus muntjak","Artiodactyla","Ruminantia","non-cetacean","Cervidae","cathemeral/crepuscular","crepuscular","crepuscular",3,"Muntiacus_muntjak"
"Muntiacus reevesi","Artiodactyla","Ruminantia","non-cetacean","Cervidae","cathemeral/crepuscular","crepuscular","crepuscular",3,"Muntiacus_reevesi"
"Muntiacus vaginalis","Artiodactyla","Ruminantia","non-cetacean","Cervidae","cathemeral","cathemeral","cathemeral",3,"Muntiacus_vaginalis"
"Muntiacus vuquangensis","Artiodactyla","Ruminantia","non-cetacean","Cervidae","diurnal","diurnal","diurnal",3,"Muntiacus_vuquangensis"
"Naemorhedus baileyi","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal/crepuscular","crepuscular","diurnal",1,"Naemorhedus_baileyi"
"Naemorhedus caudatus","Artiodactyla","Ruminantia","non-cetacean","Bovidae","cathemeral/crepuscular","crepuscular","crepuscular",3,"Naemorhedus_caudatus"
"Naemorhedus goral","Artiodactyla","Ruminantia","non-cetacean","Bovidae","cathemeral/crepuscular","crepuscular","crepuscular",3,"Naemorhedus_goral"
"Naemorhedus griseus","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal/crepuscular","crepuscular","diurnal",3,"Naemorhedus_griseus"
"Nanger dama","Artiodactyla","Ruminantia","non-cetacean","Bovidae","nocturnal","nocturnal","nocturnal",3,"Nanger_dama"
"Nanger granti","Artiodactyla","Ruminantia","non-cetacean","Bovidae","cathemeral/crepuscular","crepuscular","crepuscular",2,"Nanger_granti"
"Nanger soemmerringii","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal","diurnal","diurnal",1,"Nanger_soemmerringii"
"Neotragus batesi","Artiodactyla","Ruminantia","non-cetacean","Bovidae","nocturnal/crepuscular","crepuscular","nocturnal",3,"Neotragus_batesi"
"Neotragus pygmaeus","Artiodactyla","Ruminantia","non-cetacean","Bovidae","nocturnal","nocturnal","nocturnal",4,"Neotragus_pygmaeus"
"Nesotragus moschatus","Artiodactyla","Ruminantia","non-cetacean","Bovidae","nocturnal/crepuscular","crepuscular","nocturnal",3,"Nesotragus_moschatus"
"Nilgiritragus hylocrius","Artiodactyla","Ruminantia","non-cetacean","Bovidae","cathemeral/crepuscular","crepuscular","crepuscular",1,"Nilgiritragus_hylocrius"
"Odocoileus hemionus","Artiodactyla","Ruminantia","non-cetacean","Cervidae","cathemeral/crepuscular","crepuscular","crepuscular",4,"Odocoileus_hemionus"
"Odocoileus virginianus","Artiodactyla","Ruminantia","non-cetacean","Cervidae","cathemeral/crepuscular","crepuscular","crepuscular",4,"Odocoileus_virginianus"
"Okapia johnstoni","Artiodactyla","Ruminantia","non-cetacean","Giraffidae","diurnal","diurnal","diurnal",5,"Okapia_johnstoni"
"Oreamnos americanus","Artiodactyla","Ruminantia","non-cetacean","Bovidae","nocturnal","nocturnal","nocturnal",4,"Oreamnos_americanus"
"Oreotragus oreotragus","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal","diurnal","diurnal",3,"Oreotragus_oreotragus"
"Oryx beisa","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal","diurnal","diurnal",1,"Oryx_beisa"
"Oryx dammah","Artiodactyla","Ruminantia","non-cetacean","Bovidae","cathemeral/crepuscular","crepuscular","crepuscular",3,"Oryx_dammah"
"Oryx gazella","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal","diurnal","diurnal",4,"Oryx_gazella"
"Oryx leucoryx","Artiodactyla","Ruminantia","non-cetacean","Bovidae","nocturnal/crepuscular","crepuscular","nocturnal",4,"Oryx_leucoryx"
"Ourebia ourebi","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal","diurnal","diurnal",3,"Ourebia_ourebi"
"Ovibos moschatus","Artiodactyla","Ruminantia","non-cetacean","Bovidae","cathemeral","cathemeral","cathemeral",4,"Ovibos_moschatus"
"Ovis ammon","Artiodactyla","Ruminantia","non-cetacean","Bovidae","cathemeral/crepuscular","crepuscular","crepuscular",4,"Ovis_ammon"
"Ovis aries","Artiodactyla","Ruminantia","non-cetacean","Bovidae","cathemeral/crepuscular","crepuscular","crepuscular",3,"Ovis_aries"
"Ovis canadensis","Artiodactyla","Ruminantia","non-cetacean","Bovidae","cathemeral","cathemeral","cathemeral",4,"Ovis_canadensis"
"Ovis dalli","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal","diurnal","diurnal",4,"Ovis_dalli"
"Ovis gmelini","Artiodactyla","Ruminantia","non-cetacean","Bovidae","cathemeral/crepuscular","crepuscular","crepuscular",4,"Ovis_gmelini"
"Ovis nivicola","Artiodactyla","Ruminantia","non-cetacean","Bovidae","cathemeral/crepuscular","crepuscular","crepuscular",1,"Ovis_nivicola"
"Ovis orientalis","Artiodactyla","Ruminantia","non-cetacean","Bovidae","cathemeral/crepuscular","crepuscular","crepuscular",4,"Ovis_orientalis"
"Ozotoceros bezoarticus","Artiodactyla","Ruminantia","non-cetacean","Cervidae","cathemeral","cathemeral","cathemeral",4,"Ozotoceros_bezoarticus"
"Pantholops hodgsonii","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal/crepuscular","crepuscular","diurnal",3,"Pantholops_hodgsonii"
"Pecari tajacu","Artiodactyla","Suina","non-cetacean","Tayassuidae","diurnal/crepuscular","crepuscular","diurnal",4,"Pecari_tajacu"
"Pelea capreolus","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal","diurnal","diurnal",1,"Pelea_capreolus"
"Phacochoerus aethiopicus","Artiodactyla","Suina","non-cetacean","Suidae","diurnal","diurnal","diurnal",2,"Phacochoerus_aethiopicus"
"Phacochoerus africanus","Artiodactyla","Suina","non-cetacean","Suidae","diurnal/crepuscular","crepuscular","diurnal",3,"Phacochoerus_africanus"
"Philantomba maxwellii","Artiodactyla","Ruminantia","non-cetacean","Bovidae","nocturnal/crepuscular","crepuscular","nocturnal",4,"Philantomba_maxwellii"
