"Species_name","Family","column","value"
"Rupicapra pyrenaica","Bovidae","Conf2.1","diurnal/crepuscular"
"Vicugna vicugna","Camelidae","Conf2","diurnal"
"Vicugna vicugna","Camelidae","Conf2.1","diurnal"
"Babyrousa togeanensis","Suidae","Conf1.1","cathemeral/crepuscular"
"Babyrousa togeanensis","Suidae","Conf3","diurnal/crepuscular"
"Bos sauveli","Bovidae","Conf1","unclear/crepuscular"
"Bos sauveli","Bovidae","Conf1.1","cathemeral"
"Capricornis swinhoei","Bovidae","Conf1","unclear/crepuscular"
"Capricornis swinhoei","Bovidae","Conf1.1","unclear/crepuscular"
"Dama mesopotamica","Cervidae","Conf1","nocturnal/crepuscular"
"Dama mesopotamica","Cervidae","Conf1.1","nocturnal/crepuscular"
"Gazella cuvieri","Bovidae","Conf1","diurnal/crepuscular"
"Gazella cuvieri","Bovidae","Conf1.1","nocturnal"
"Madoqua piacentinii","Bovidae","Conf1","diurnal"
"Madoqua piacentinii","Bovidae","Conf1.1","diurnal/crepuscular"
"Naemorhedus baileyi","Bovidae","Conf1","diurnal"
"Naemorhedus baileyi","Bovidae","Conf1.1","diurnal/crepuscular"
"Raphicerus melanotis","Bovidae","Conf1","nocturnal/crepuscular"
"Raphicerus melanotis","Bovidae","Conf1.1","nocturnal/crepuscular"
"Raphicerus sharpei","Bovidae","Conf1","nocturnal"
"Raphicerus sharpei","Bovidae","Conf1.1","nocturnal/crepuscular"
"Redunca arundinum","Bovidae","Conf1","nocturnal"
"Redunca arundinum","Bovidae","Conf1.1","nocturnal/crepuscular"
"Rusa alfredi","Cervidae","Conf1","nocturnal"
"Rusa alfredi","Cervidae","Conf1.1","nocturnal"
"Saiga tatarica","Bovidae","Conf1","diurnal/crepuscular"
"Saiga tatarica","Bovidae","Conf1.1","cathemeral/crepuscular"
"Sus celebensis","Suidae","Conf1","nocturnal"
"Sus celebensis","Suidae","Conf1.1","diurnal/crepuscular"
"Tragulus nigricans","Tragulidae","Conf1","nocturnal"
"Tragulus nigricans","Tragulidae","Conf1.1","nocturnal"
