"","Species_name","Diel_Pattern_2","tips","Diel_Pattern_1","Diel_Pattern_3","Diel_Pattern_4"
"Phacochoerus africanus","Phacochoerus africanus","diurnal","Phacochoerus_africanus","diurnal","diurnal","diurnal"
"Philantomba maxwellii","Philantomba maxwellii","diurnal","Philantomba_maxwellii","diurnal","diurnal","diurnal"
"Philantomba monticola","Philantomba monticola","diurnal","Philantomba_monticola","diurnal","diurnal","diurnal"
"Philantomba walteri","Philantomba walteri","diurnal","Philantomba_walteri","diurnal","diurnal","diurnal"
"Porcula salvania","Porcula salvania","diurnal","Porcula_salvania","diurnal","diurnal","diurnal"
"Potamochoerus larvatus","Potamochoerus larvatus","nocturnal","Potamochoerus_larvatus","nocturnal","nocturnal","nocturnal"
"Potamochoerus porcus","Potamochoerus porcus","nocturnal/crepuscular","Potamochoerus_porcus","nocturnal","crepuscular","nocturnal"
"Procapra gutturosa","Procapra gutturosa","diurnal","Procapra_gutturosa","diurnal","diurnal","diurnal"
"Procapra picticaudata","Procapra picticaudata","cathemeral/crepuscular","Procapra_picticaudata",NA,"crepuscular","cathemeral"
"Procapra przewalskii","Procapra przewalskii","diurnal","Procapra_przewalskii","diurnal","diurnal","diurnal"
"Pseudois nayaur","Pseudois nayaur","diurnal","Pseudois_nayaur","diurnal","diurnal","diurnal"
"Pseudoryx nghetinhensis","Pseudoryx nghetinhensis","diurnal","Pseudoryx_nghetinhensis","diurnal","diurnal","diurnal"
"Pudu mephistophiles","Pudu mephistophiles","nocturnal","Pudu_mephistophiles","nocturnal","nocturnal","nocturnal"
"Pudu puda","Pudu puda","nocturnal","Pudu_puda","nocturnal","nocturnal","nocturnal"
"Rangifer tarandus","Rangifer tarandus","cathemeral","Rangifer_tarandus",NA,"crepuscular","cathemeral"
"Raphicerus campestris","Raphicerus campestris","cathemeral","Raphicerus_campestris",NA,"crepuscular","cathemeral"
"Raphicerus melanotis","Raphicerus melanotis","nocturnal","Raphicerus_melanotis","nocturnal","nocturnal","nocturnal"
"Raphicerus sharpei","Raphicerus sharpei","nocturnal","Raphicerus_sharpei","nocturnal","nocturnal","nocturnal"
"Redunca arundinum","Redunca arundinum","cathemeral","Redunca_arundinum",NA,"crepuscular","cathemeral"
